c_personid,c_index_year,c_index_year_type_code,c_index_year_source_id,c_female,c_index_addr_id,c_index_addr_type_code,c_ethnicity_code,c_household_status_code,c_birthyear,c_death_age,c_fl_earliest_year,c_fl_latest_year,c_surname_chn,c_dy,c_choronym_code,c_self_bio
0,,,,0.0,,,,,,,0.0,0.0,未,0.0,,0.0
1,1042.0,1.0,,0.0,,,0.0,0.0,1042.0,63.0,,,安,15.0,0.0,1.0
2,1072.0,11.0,1.0,0.0,100430.0,1.0,0.0,0.0,0.0,0.0,,,安,15.0,0.0,0.0
3,1065.0,12.0,3001.0,0.0,100658.0,1.0,0.0,0.0,,75.0,,,安,15.0,0.0,1.0
4,955.0,1.0,,0.0,12853.0,1.0,0.0,0.0,955.0,64.0,,,查,15.0,0.0,1.0
5,1121.0,5.0,,0.0,100395.0,1.0,0.0,0.0,0.0,0.0,1151.0,,查,15.0,0.0,1.0
6,934.0,1.0,,0.0,100449.0,1.0,0.0,0.0,934.0,71.0,,,柴,15.0,41.0,1.0
7,1070.0,5.0,,0.0,100658.0,1.0,0.0,0.0,0.0,0.0,,,柴,15.0,0.0,0.0
8,,,,0.0,,,0.0,0.0,0.0,0.0,,,常,15.0,0.0,0.0
9,,,,0.0,,,0.0,0.0,0.0,0.0,,,常,15.0,0.0,0.0
10,1091.0,29.0,,0.0,12889.0,1.0,0.0,0.0,,,,,晁,15.0,45.0,1.0
11,1105.0,1.0,,0.0,12889.0,1.0,1.0,0.0,1105.0,76.0,,,晁,15.0,45.0,1.0
12,1084.0,13.0,,0.0,100513.0,1.0,0.0,0.0,0.0,0.0,1126.0,,晁,15.0,45.0,1.0
13,1049.0,1.0,,0.0,11263.0,1.0,0.0,0.0,1049.0,57.0,,,晁,15.0,45.0,1.0
14,1035.0,1.0,,0.0,100658.0,1.0,0.0,0.0,1035.0,0.0,,,晁,15.0,45.0,1.0
15,1020.0,19.0,,0.0,11478.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
16,1027.0,5.0,,0.0,11478.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
17,1014.0,1.0,,0.0,11478.0,1.0,0.0,0.0,1014.0,81.0,,,陳,15.0,0.0,1.0
18,1020.0,19.0,,0.0,11478.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
19,1046.0,5.0,,0.0,100658.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
20,1079.0,1.0,,0.0,12696.0,1.0,0.0,0.0,1079.0,0.0,,,陳,15.0,0.0,0.0
21,1016.0,5.0,,0.0,13892.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
22,1067.0,29.0,,0.0,100088.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
23,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
24,1087.0,11.0,7128.0,0.0,13921.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,45.0,0.0
25,986.0,29.0,,0.0,11243.0,1.0,0.0,0.0,,,,,陳,15.0,0.0,1.0
26,1080.0,11.0,14328.0,0.0,100011.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,24.0,0.0
27,963.0,11.0,8058.0,0.0,11263.0,1.0,0.0,0.0,0.0,0.0,1029.0,1040.0,夏侯,15.0,0.0,1.0
28,970.0,5.0,,0.0,100531.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
29,1082.0,5.0,,0.0,12781.0,1.0,0.0,0.0,,64.0,,,陳,15.0,0.0,1.0
30,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
31,1081.0,1.0,,0.0,13897.0,1.0,0.0,0.0,1081.0,53.0,1131.0,1132.0,陳,15.0,0.0,1.0
32,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
33,1035.0,1.0,,0.0,100494.0,1.0,0.0,0.0,1035.0,46.0,,,陳,15.0,45.0,1.0
34,990.0,1.0,,0.0,100658.0,1.0,0.0,0.0,990.0,70.0,,,陳,15.0,45.0,1.0
35,,,,0.0,100494.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,45.0,0.0
36,1102.0,5.0,,0.0,12724.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
37,940.0,14.0,,0.0,100531.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
38,1008.0,5.0,,0.0,12718.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
39,1108.0,5.0,,0.0,100463.0,1.0,0.0,0.0,,33.0,,,陳,15.0,0.0,0.0
40,,,,0.0,12690.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
41,,,,0.0,12887.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,45.0,0.0
42,,,,0.0,100618.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
43,1027.0,5.0,,0.0,100181.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
44,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
46,1031.0,5.0,,0.0,12882.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
47,1029.0,5.0,,0.0,100011.0,1.0,0.0,0.0,,53.0,,,陳,15.0,0.0,1.0
48,1091.0,29.0,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,1.0
49,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
50,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
51,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
52,,,,0.0,13871.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
53,1019.0,5.0,,0.0,100409.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
54,,,8004.0,0.0,100409.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,45.0,0.0
55,1021.0,1.0,,0.0,100409.0,1.0,0.0,0.0,1021.0,68.0,,,陳,15.0,0.0,1.0
56,955.0,1.0,,0.0,4244.0,1.0,0.0,0.0,955.0,64.0,,,陳,15.0,0.0,1.0
57,,,,0.0,,,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
58,1067.0,5.0,,0.0,12821.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,0.0,0.0
59,1012.0,13.0,99.0,0.0,100494.0,1.0,0.0,0.0,0.0,0.0,,,陳,15.0,45.0,0.0
